"Source","Target","Type"
"Chris Evans","3 Apr, more ind votes (Aye)","Undirected"
"Paul Farrelly","3 Apr, more ind votes (Aye)","Undirected"
"Tim Farron","3 Apr, more ind votes (Aye)","Undirected"
"Marion Fellows","3 Apr, more ind votes (Aye)","Undirected"
"Jim Fitzpatrick","3 Apr, more ind votes (Aye)","Undirected"
"Lucy Powell","3 Apr, more ind votes (Aye)","Undirected"
"Colleen Fletcher","3 Apr, more ind votes (Aye)","Undirected"
"Yvonne Fovargue","3 Apr, more ind votes (Aye)","Undirected"
"Vicky Foxcroft","3 Apr, more ind votes (Aye)","Undirected"
"George Freeman","3 Apr, more ind votes (Aye)","Undirected"
"James Frith","3 Apr, more ind votes (Aye)","Undirected"
"Gill Furniss","3 Apr, more ind votes (Aye)","Undirected"
"Hugh Gaffney","3 Apr, more ind votes (Aye)","Undirected"
"Mike Gapes","3 Apr, more ind votes (Aye)","Undirected"
"Barry Gardiner","3 Apr, more ind votes (Aye)","Undirected"
"Ruth George","3 Apr, more ind votes (Aye)","Undirected"
"Gavin Newlands","3 Apr, more ind votes (Aye)","Undirected"
"Yasmin Qureshi","3 Apr, more ind votes (Aye)","Undirected"
"Stephen Gethins","3 Apr, more ind votes (Aye)","Undirected"
"Patricia Gibson","3 Apr, more ind votes (Aye)","Undirected"
"Preet Kaur Gill","3 Apr, more ind votes (Aye)","Undirected"
"Mary Glindon","3 Apr, more ind votes (Aye)","Undirected"
"Mr Roger Godsiff","3 Apr, more ind votes (Aye)","Undirected"
"Helen Goodman","3 Apr, more ind votes (Aye)","Undirected"
"Patrick Grady","3 Apr, more ind votes (Aye)","Undirected"
"Peter Grant","3 Apr, more ind votes (Aye)","Undirected"
"Neil Gray","3 Apr, more ind votes (Aye)","Undirected"
"Kate Green","3 Apr, more ind votes (Aye)","Undirected"
"Faisal Rashid","3 Apr, more ind votes (Aye)","Undirected"
"Justine Greening","3 Apr, more ind votes (Aye)","Undirected"
"Lilian Greenwood","3 Apr, more ind votes (Aye)","Undirected"
"Margaret Greenwood","3 Apr, more ind votes (Aye)","Undirected"
"Mr Dominic Grieve","3 Apr, more ind votes (Aye)","Undirected"
"Nia Griffith","3 Apr, more ind votes (Aye)","Undirected"
"John Grogan","3 Apr, more ind votes (Aye)","Undirected"
"Andrew Gwynne","3 Apr, more ind votes (Aye)","Undirected"
"Mr Sam Gyimah","3 Apr, more ind votes (Aye)","Undirected"
"Louise Haigh","3 Apr, more ind votes (Aye)","Undirected"
"Fabian Hamilton","3 Apr, more ind votes (Aye)","Undirected"
"Angela Rayner","3 Apr, more ind votes (Aye)","Undirected"
"David Hanson","3 Apr, more ind votes (Aye)","Undirected"
"Emma Hardy","3 Apr, more ind votes (Aye)","Undirected"
"Ms Harriet Harman","3 Apr, more ind votes (Aye)","Undirected"
"Richard Harrington","3 Apr, more ind votes (Aye)","Undirected"
"Carolyn Harris","3 Apr, more ind votes (Aye)","Undirected"
"Helen Hayes","3 Apr, more ind votes (Aye)","Undirected"
"Sue Hayman","3 Apr, more ind votes (Aye)","Undirected"
"John Healey","3 Apr, more ind votes (Aye)","Undirected"
"Sir Mark Hendrick","3 Apr, more ind votes (Aye)","Undirected"
"Drew Hendry","3 Apr, more ind votes (Aye)","Undirected"
"Mr Steve Reed","3 Apr, more ind votes (Aye)","Undirected"
"Lady Hermon","3 Apr, more ind votes (Aye)","Undirected"
"Mike Hill","3 Apr, more ind votes (Aye)","Undirected"
"Meg Hillier","3 Apr, more ind votes (Aye)","Undirected"
"Wera Hobhouse","3 Apr, more ind votes (Aye)","Undirected"
"Dame Margaret Hodge","3 Apr, more ind votes (Aye)","Undirected"
"Mrs Sharon Hodgson","3 Apr, more ind votes (Aye)","Undirected"
"Kate Hollern","3 Apr, more ind votes (Aye)","Undirected"
"Stewart Hosie","3 Apr, more ind votes (Aye)","Undirected"
"Mr George Howarth","3 Apr, more ind votes (Aye)","Undirected"
"Dr Rupa Huq","3 Apr, more ind votes (Aye)","Undirected"
"Christina Rees","3 Apr, more ind votes (Aye)","Undirected"
"Imran Hussain","3 Apr, more ind votes (Aye)","Undirected"
"Christine Jardine","3 Apr, more ind votes (Aye)","Undirected"
"Dan Jarvis","3 Apr, more ind votes (Aye)","Undirected"
"Diana Johnson","3 Apr, more ind votes (Aye)","Undirected"
"Darren Jones","3 Apr, more ind votes (Aye)","Undirected"
"Gerald Jones","3 Apr, more ind votes (Aye)","Undirected"
"Graham P Jones","3 Apr, more ind votes (Aye)","Undirected"
"Helen Jones","3 Apr, more ind votes (Aye)","Undirected"
"Mr Kevan Jones","3 Apr, more ind votes (Aye)","Undirected"
"Sarah Jones","3 Apr, more ind votes (Aye)","Undirected"
"Ellie Reeves","3 Apr, more ind votes (Aye)","Undirected"
"Susan Elan Jones","3 Apr, more ind votes (Aye)","Undirected"
"Mike Kane","3 Apr, more ind votes (Aye)","Undirected"
"Barbara Keeley","3 Apr, more ind votes (Aye)","Undirected"
"Liz Kendall","3 Apr, more ind votes (Aye)","Undirected"
"Afzal Khan","3 Apr, more ind votes (Aye)","Undirected"
"Ged Killen","3 Apr, more ind votes (Aye)","Undirected"
"Stephen Kinnock","3 Apr, more ind votes (Aye)","Undirected"
"Peter Kyle","3 Apr, more ind votes (Aye)","Undirected"
"Lesley Laird","3 Apr, more ind votes (Aye)","Undirected"
"Ben Lake","3 Apr, more ind votes (Aye)","Undirected"
"Rachel Reeves","3 Apr, more ind votes (Aye)","Undirected"
"Norman Lamb","3 Apr, more ind votes (Aye)","Undirected"
"Mr David Lammy","3 Apr, more ind votes (Aye)","Undirected"
"Ian Lavery","3 Apr, more ind votes (Aye)","Undirected"
"Chris Law","3 Apr, more ind votes (Aye)","Undirected"
"Dr Phillip Lee","3 Apr, more ind votes (Aye)","Undirected"
"Karen Lee","3 Apr, more ind votes (Aye)","Undirected"
"Mr Chris Leslie","3 Apr, more ind votes (Aye)","Undirected"
"Sir Oliver Letwin","3 Apr, more ind votes (Aye)","Undirected"
"Mrs Emma Lewell-Buck","3 Apr, more ind votes (Aye)","Undirected"
"Clive Lewis","3 Apr, more ind votes (Aye)","Undirected"
"Emma Reynolds","3 Apr, more ind votes (Aye)","Undirected"
"Mr Ivan Lewis","3 Apr, more ind votes (Aye)","Undirected"
"David Linden","3 Apr, more ind votes (Aye)","Undirected"
"Stephen Lloyd","3 Apr, more ind votes (Aye)","Undirected"
"Tony Lloyd","3 Apr, more ind votes (Aye)","Undirected"
"Rebecca Long Bailey","3 Apr, more ind votes (Aye)","Undirected"
"Caroline Lucas","3 Apr, more ind votes (Aye)","Undirected"
"Ian C. Lucas","3 Apr, more ind votes (Aye)","Undirected"
"Holly Lynch","3 Apr, more ind votes (Aye)","Undirected"
"Angus Brendan MacNeil","3 Apr, more ind votes (Aye)","Undirected"
"Justin Madders","3 Apr, more ind votes (Aye)","Undirected"
"Jonathan Reynolds","3 Apr, more ind votes (Aye)","Undirected"
"Mr Khalid Mahmood","3 Apr, more ind votes (Aye)","Undirected"
"Shabana Mahmood","3 Apr, more ind votes (Aye)","Undirected"
"Seema Malhotra","3 Apr, more ind votes (Aye)","Undirected"
"Gordon Marsden","3 Apr, more ind votes (Aye)","Undirected"
"Sandy Martin","3 Apr, more ind votes (Aye)","Undirected"
"Rachael Maskell","3 Apr, more ind votes (Aye)","Undirected"
"Christian Matheson","3 Apr, more ind votes (Aye)","Undirected"
"Steve McCabe","3 Apr, more ind votes (Aye)","Undirected"
"Kerry McCarthy","3 Apr, more ind votes (Aye)","Undirected"
"Siobhain McDonagh","3 Apr, more ind votes (Aye)","Undirected"
"Ms Marie Rimmer","3 Apr, more ind votes (Aye)","Undirected"
"Andy McDonald","3 Apr, more ind votes (Aye)","Undirected"
"Stewart Malcolm McDonald","3 Apr, more ind votes (Aye)","Undirected"
"Stuart C. McDonald","3 Apr, more ind votes (Aye)","Undirected"
"Mr Pat McFadden","3 Apr, more ind votes (Aye)","Undirected"
"Conor McGinn","3 Apr, more ind votes (Aye)","Undirected"
"Alison McGovern","3 Apr, more ind votes (Aye)","Undirected"
"Liz McInnes","3 Apr, more ind votes (Aye)","Undirected"
"Catherine McKinnell","3 Apr, more ind votes (Aye)","Undirected"
