"Id","Label","Type","TypeNumber","Party","Topic","VoteName"
"Jack Brereton","Jack Brereton","member",1,"Conservative","Member","Member"
"Andrew Bridgen","Andrew Bridgen","member",1,"Conservative","Member","Member"
"Steve Brine","Steve Brine","member",1,"Conservative","Member","Member"
"Deidre Brock","Deidre Brock","member",1,"Scottish National Party","Member","Member"
"James Brokenshire","James Brokenshire","member",1,"Conservative","Member","Member"
"Alan Brown","Alan Brown","member",1,"Scottish National Party","Member","Member"
"Lyn Brown","Lyn Brown","member",1,"Labour","Member","Member"
"Mr Nicholas Brown","Mr Nicholas Brown","member",1,"Labour","Member","Member"
"Chris Bryant","Chris Bryant","member",1,"Labour","Member","Member"
"Ms Karen Buck","Ms Karen Buck","member",1,"Labour","Member","Member"
"Mark Pawsey","Mark Pawsey","member",1,"Conservative","Member","Member"
"Robert Buckland","Robert Buckland","member",1,"Conservative","Member","Member"
"Richard Burden","Richard Burden","member",1,"Labour","Member","Member"
"Alex Burghart","Alex Burghart","member",1,"Conservative","Member","Member"
"Richard Burgon","Richard Burgon","member",1,"Labour","Member","Member"
"Conor Burns","Conor Burns","member",1,"Conservative","Member","Member"
"Alistair Burt","Alistair Burt","member",1,"Conservative","Member","Member"
"Dawn Butler","Dawn Butler","member",1,"Labour","Member","Member"
"Liam Byrne","Liam Byrne","member",1,"Labour","Member","Member"
"Sir Vince Cable","Sir Vince Cable","member",1,"Liberal Democrat","Member","Member"
"Ruth Cadbury","Ruth Cadbury","member",1,"Labour","Member","Member"
"Stephanie Peacock","Stephanie Peacock","member",1,"Labour","Member","Member"
"Alun Cairns","Alun Cairns","member",1,"Conservative","Member","Member"
"Dr Lisa Cameron","Dr Lisa Cameron","member",1,"Scottish National Party","Member","Member"
"Mr Gregory Campbell","Mr Gregory Campbell","member",1,"Democratic Unionist Party","Member","Member"
"Mr Ronnie Campbell","Mr Ronnie Campbell","member",1,"Labour","Member","Member"
"Sir Alan Campbell","Sir Alan Campbell","member",1,"Labour","Member","Member"
"Dan Carden","Dan Carden","member",1,"Labour","Member","Member"
"Mr Alistair Carmichael","Mr Alistair Carmichael","member",1,"Liberal Democrat","Member","Member"
"James Cartlidge","James Cartlidge","member",1,"Conservative","Member","Member"
"Sir William Cash","Sir William Cash","member",1,"Conservative","Member","Member"
"Maria Caulfield","Maria Caulfield","member",1,"Conservative","Member","Member"
"Teresa Pearce","Teresa Pearce","member",1,"Labour","Member","Member"
"Alex Chalk","Alex Chalk","member",1,"Conservative","Member","Member"
"Sarah Champion","Sarah Champion","member",1,"Labour","Member","Member"
"Douglas Chapman","Douglas Chapman","member",1,"Scottish National Party","Member","Member"
"Jenny Chapman","Jenny Chapman","member",1,"Labour","Member","Member"
"Bambos Charalambous","Bambos Charalambous","member",1,"Labour","Member","Member"
"Joanna Cherry","Joanna Cherry","member",1,"Scottish National Party","Member","Member"
"Rehman Chishti","Rehman Chishti","member",1,"Conservative","Member","Member"
"Sir Christopher Chope","Sir Christopher Chope","member",1,"Conservative","Member","Member"
"Jo Churchill","Jo Churchill","member",1,"Conservative","Member","Member"
"Colin Clark","Colin Clark","member",1,"Conservative","Member","Member"
"Matthew Pennycook","Matthew Pennycook","member",1,"Labour","Member","Member"
"Greg Clark","Greg Clark","member",1,"Conservative","Member","Member"
"Mr Kenneth Clarke","Mr Kenneth Clarke","member",1,"Conservative","Member","Member"
"Mr Simon Clarke","Mr Simon Clarke","member",1,"Conservative","Member","Member"
"James Cleverly","James Cleverly","member",1,"Conservative","Member","Member"
"Sir Geoffrey Clifton-Brown","Sir Geoffrey Clifton-Brown","member",1,"Conservative","Member","Member"
"Ann Clwyd","Ann Clwyd","member",1,"Labour","Member","Member"
"Vernon Coaker","Vernon Coaker","member",1,"Labour","Member","Member"
"Ann Coffey","Ann Coffey","member",1,"Change UK - The Independent Group","Member","Member"
"Dr Thérèse Coffey","Dr Thérèse Coffey","member",1,"Conservative","Member","Member"
"Damian Collins","Damian Collins","member",1,"Conservative","Member","Member"
"John Penrose","John Penrose","member",1,"Conservative","Member","Member"
"Julie Cooper","Julie Cooper","member",1,"Labour","Member","Member"
"Rosie Cooper","Rosie Cooper","member",1,"Labour","Member","Member"
"Yvette Cooper","Yvette Cooper","member",1,"Labour","Member","Member"
"Jeremy Corbyn","Jeremy Corbyn","member",1,"Labour","Member","Member"
"Alberto Costa","Alberto Costa","member",1,"Conservative","Member","Member"
"Robert Courts","Robert Courts","member",1,"Conservative","Member","Member"
"Ronnie Cowan","Ronnie Cowan","member",1,"Scottish National Party","Member","Member"
"Mr Geoffrey Cox","Mr Geoffrey Cox","member",1,"Conservative","Member","Member"
"Neil Coyle","Neil Coyle","member",1,"Labour","Member","Member"
"Stephen Crabb","Stephen Crabb","member",1,"Conservative","Member","Member"
"Sir Graham Brady","Sir Graham Brady","member",1,"Conservative","Member","Member"
"Toby Perkins","Toby Perkins","member",1,"Labour","Member","Member"
"Sir David Crausby","Sir David Crausby","member",1,"Labour","Member","Member"
"Angela Crawley","Angela Crawley","member",1,"Scottish National Party","Member","Member"
"Mary Creagh","Mary Creagh","member",1,"Labour","Member","Member"
"Stella Creasy","Stella Creasy","member",1,"Labour (Co-op)","Member","Member"
"Tracey Crouch","Tracey Crouch","member",1,"Conservative","Member","Member"
"Jon Cruddas","Jon Cruddas","member",1,"Labour","Member","Member"
"John Cryer","John Cryer","member",1,"Labour","Member","Member"
"Judith Cummins","Judith Cummins","member",1,"Labour","Member","Member"
"Alex Cunningham","Alex Cunningham","member",1,"Labour","Member","Member"
"Mr Jim Cunningham","Mr Jim Cunningham","member",1,"Labour","Member","Member"
"Claire Perry","Claire Perry","member",1,"Conservative","Member","Member"
"Janet Daby","Janet Daby","member",1,"Labour","Member","Member"
"Nic Dakin","Nic Dakin","member",1,"Labour","Member","Member"
"Sir Edward Davey","Sir Edward Davey","member",1,"Liberal Democrat","Member","Member"
"Wayne David","Wayne David","member",1,"Labour","Member","Member"
"David T. C. Davies","David T. C. Davies","member",1,"Conservative","Member","Member"
"Geraint Davies","Geraint Davies","member",1,"Labour (Co-op)","Member","Member"
"Glyn Davies","Glyn Davies","member",1,"Conservative","Member","Member"
"Mims Davies","Mims Davies","member",1,"Conservative","Member","Member"
"Philip Davies","Philip Davies","member",1,"Conservative","Member","Member"
"Mr David Davis","Mr David Davis","member",1,"Conservative","Member","Member"
"Jess Phillips","Jess Phillips","member",1,"Labour","Member","Member"
"Martyn Day","Martyn Day","member",1,"Scottish National Party","Member","Member"
"Marsha De Cordova","Marsha De Cordova","member",1,"Labour","Member","Member"
"Gloria De Piero","Gloria De Piero","member",1,"Labour","Member","Member"
"Thangam Debbonaire","Thangam Debbonaire","member",1,"Labour","Member","Member"
"Emma Dent Coad","Emma Dent Coad","member",1,"Labour","Member","Member"
"Mr Tanmanjeet Singh Dhesi","Mr Tanmanjeet Singh Dhesi","member",1,"Labour","Member","Member"
"Caroline Dinenage","Caroline Dinenage","member",1,"Conservative","Member","Member"
"Mr Jonathan Djanogly","Mr Jonathan Djanogly","member",1,"Conservative","Member","Member"
"Leo Docherty","Leo Docherty","member",1,"Conservative","Member","Member"
"Martin Docherty-Hughes","Martin Docherty-Hughes","member",1,"Scottish National Party","Member","Member"
"Bridget Phillipson","Bridget Phillipson","member",1,"Labour","Member","Member"
"Anneliese Dodds","Anneliese Dodds","member",1,"Labour (Co-op)","Member","Member"
"Nigel Dodds","Nigel Dodds","member",1,"Democratic Unionist Party","Member","Member"
"Sir Jeffrey M. Donaldson","Sir Jeffrey M. Donaldson","member",1,"Democratic Unionist Party","Member","Member"
"Michelle Donelan","Michelle Donelan","member",1,"Conservative","Member","Member"
"Ms Nadine Dorries","Ms Nadine Dorries","member",1,"Conservative","Member","Member"
"Steve Double","Steve Double","member",1,"Conservative","Member","Member"
"Stephen Doughty","Stephen Doughty","member",1,"Labour (Co-op)","Member","Member"
"Peter Dowd","Peter Dowd","member",1,"Labour","Member","Member"
"Oliver Dowden","Oliver Dowden","member",1,"Conservative","Member","Member"
"Jackie Doyle-Price","Jackie Doyle-Price","member",1,"Conservative","Member","Member"
"Chris Philp","Chris Philp","member",1,"Conservative","Member","Member"
"Richard Drax","Richard Drax","member",1,"Conservative","Member","Member"
"Dr David Drew","Dr David Drew","member",1,"Labour (Co-op)","Member","Member"
"Jack Dromey","Jack Dromey","member",1,"Labour","Member","Member"
"James Duddridge","James Duddridge","member",1,"Conservative","Member","Member"
"Rosie Duffield","Rosie Duffield","member",1,"Labour","Member","Member"
"David Duguid","David Duguid","member",1,"Conservative","Member","Member"
"Mr Iain Duncan Smith","Mr Iain Duncan Smith","member",1,"Conservative","Member","Member"
"Sir Alan Duncan","Sir Alan Duncan","member",1,"Conservative","Member","Member"
"Mr Philip Dunne","Mr Philip Dunne","member",1,"Conservative","Member","Member"
"Maria Eagle","Maria Eagle","member",1,"Labour","Member","Member"
"Laura Pidcock","Laura Pidcock","member",1,"Labour","Member","Member"
"Ms Angela Eagle","Ms Angela Eagle","member",1,"Labour","Member","Member"
"Jonathan Edwards","Jonathan Edwards","member",1,"Plaid Cymru","Member","Member"
"Clive Efford","Clive Efford","member",1,"Labour","Member","Member"
"Julie Elliott","Julie Elliott","member",1,"Labour","Member","Member"
"Michael Ellis","Michael Ellis","member",1,"Conservative","Member","Member"
"Dame Louise Ellman","Dame Louise Ellman","member",1,"Labour (Co-op)","Member","Member"
"Mr Tobias Ellwood","Mr Tobias Ellwood","member",1,"Conservative","Member","Member"
"Chris Elmore","Chris Elmore","member",1,"Labour","Member","Member"
"Charlie Elphicke","Charlie Elphicke","member",1,"Conservative","Member","Member"
"Bill Esterson","Bill Esterson","member",1,"Labour","Member","Member"
"Christopher Pincher","Christopher Pincher","member",1,"Conservative","Member","Member"
"George Eustice","George Eustice","member",1,"Conservative","Member","Member"
"Chris Evans","Chris Evans","member",1,"Labour (Co-op)","Member","Member"
"Sir David Evennett","Sir David Evennett","member",1,"Conservative","Member","Member"
"Michael Fabricant","Michael Fabricant","member",1,"Conservative","Member","Member"
"Sir Michael Fallon","Sir Michael Fallon","member",1,"Conservative","Member","Member"
"Paul Farrelly","Paul Farrelly","member",1,"Labour","Member","Member"
"Tim Farron","Tim Farron","member",1,"Liberal Democrat","Member","Member"
"Marion Fellows","Marion Fellows","member",1,"Scottish National Party","Member","Member"
"Mark Field","Mark Field","member",1,"Conservative","Member","Member"
"Jim Fitzpatrick","Jim Fitzpatrick","member",1,"Labour","Member","Member"
"Jo Platt","Jo Platt","member",1,"Labour (Co-op)","Member","Member"
"Colleen Fletcher","Colleen Fletcher","member",1,"Labour","Member","Member"
"Caroline Flint","Caroline Flint","member",1,"Labour","Member","Member"
"Vicky Ford","Vicky Ford","member",1,"Conservative","Member","Member"
"Kevin Foster","Kevin Foster","member",1,"Conservative","Member","Member"
"Yvonne Fovargue","Yvonne Fovargue","member",1,"Labour","Member","Member"
"Dr Liam Fox","Dr Liam Fox","member",1,"Conservative","Member","Member"
"Vicky Foxcroft","Vicky Foxcroft","member",1,"Labour","Member","Member"
"Mr Mark Francois","Mr Mark Francois","member",1,"Conservative","Member","Member"
"Lucy Frazer","Lucy Frazer","member",1,"Conservative","Member","Member"
"Mike Freer","Mike Freer","member",1,"Conservative","Member","Member"
"Luke Pollard","Luke Pollard","member",1,"Labour (Co-op)","Member","Member"
"James Frith","James Frith","member",1,"Labour","Member","Member"
"Gill Furniss","Gill Furniss","member",1,"Labour","Member","Member"
"Mr Marcus Fysh","Mr Marcus Fysh","member",1,"Conservative","Member","Member"
"Hugh Gaffney","Hugh Gaffney","member",1,"Labour","Member","Member"
"Sir Roger Gale","Sir Roger Gale","member",1,"Conservative","Member","Member"
"Mike Gapes","Mike Gapes","member",1,"Change UK - The Independent Group","Member","Member"
"Barry Gardiner","Barry Gardiner","member",1,"Labour","Member","Member"
"Mark Garnier","Mark Garnier","member",1,"Conservative","Member","Member"
"Mr David Gauke","Mr David Gauke","member",1,"Conservative","Member","Member"
"Ruth George","Ruth George","member",1,"Labour","Member","Member"
"Dr Dan Poulter","Dr Dan Poulter","member",1,"Conservative","Member","Member"
"Stephen Gethins","Stephen Gethins","member",1,"Scottish National Party","Member","Member"
"Ms Nusrat Ghani","Ms Nusrat Ghani","member",1,"Conservative","Member","Member"
"Nick Gibb","Nick Gibb","member",1,"Conservative","Member","Member"
"Patricia Gibson","Patricia Gibson","member",1,"Scottish National Party","Member","Member"
"Preet Kaur Gill","Preet Kaur Gill","member",1,"Labour (Co-op)","Member","Member"
"Dame Cheryl Gillan","Dame Cheryl Gillan","member",1,"Conservative","Member","Member"
"Paul Girvan","Paul Girvan","member",1,"Democratic Unionist Party","Member","Member"
"John Glen","John Glen","member",1,"Conservative","Member","Member"
"Mary Glindon","Mary Glindon","member",1,"Labour","Member","Member"
"Mr Roger Godsiff","Mr Roger Godsiff","member",1,"Labour","Member","Member"
"Chris Davies","Chris Davies","member",1,"Conservative","Member","Member"
"Stephen Pound","Stephen Pound","member",1,"Labour","Member","Member"
"Zac Goldsmith","Zac Goldsmith","member",1,"Conservative","Member","Member"
"Helen Goodman","Helen Goodman","member",1,"Labour","Member","Member"
"Mr Robert Goodwill","Mr Robert Goodwill","member",1,"Conservative","Member","Member"
"Michael Gove","Michael Gove","member",1,"Conservative","Member","Member"
"Patrick Grady","Patrick Grady","member",1,"Scottish National Party","Member","Member"
"Luke Graham","Luke Graham","member",1,"Conservative","Member","Member"
"Richard Graham","Richard Graham","member",1,"Conservative","Member","Member"
"Bill Grant","Bill Grant","member",1,"Conservative","Member","Member"
"Mrs Helen Grant","Mrs Helen Grant","member",1,"Conservative","Member","Member"
"Peter Grant","Peter Grant","member",1,"Scottish National Party","Member","Member"
"Rebecca Pow","Rebecca Pow","member",1,"Conservative","Member","Member"
"James Gray","James Gray","member",1,"Conservative","Member","Member"
"Neil Gray","Neil Gray","member",1,"Scottish National Party","Member","Member"
"Chris Grayling","Chris Grayling","member",1,"Conservative","Member","Member"
"Chris Green","Chris Green","member",1,"Conservative","Member","Member"
"Damian Green","Damian Green","member",1,"Conservative","Member","Member"
"Kate Green","Kate Green","member",1,"Labour","Member","Member"
"Justine Greening","Justine Greening","member",1,"Conservative","Member","Member"
"Lilian Greenwood","Lilian Greenwood","member",1,"Labour","Member","Member"
"Margaret Greenwood","Margaret Greenwood","member",1,"Labour","Member","Member"
"Mr Dominic Grieve","Mr Dominic Grieve","member",1,"Conservative","Member","Member"
"Lucy Powell","Lucy Powell","member",1,"Labour (Co-op)","Member","Member"
"Nia Griffith","Nia Griffith","member",1,"Labour","Member","Member"
"Andrew Griffiths","Andrew Griffiths","member",1,"Conservative","Member","Member"
"John Grogan","John Grogan","member",1,"Labour","Member","Member"
"Andrew Gwynne","Andrew Gwynne","member",1,"Labour","Member","Member"
"Mr Sam Gyimah","Mr Sam Gyimah","member",1,"Conservative","Member","Member"
"Victoria Prentis","Victoria Prentis","member",1,"Conservative","Member","Member"
"Mr Mark Prisk","Mr Mark Prisk","member",1,"Conservative","Member","Member"
"Mark Pritchard","Mark Pritchard","member",1,"Conservative","Member","Member"
"Tom Pursglove","Tom Pursglove","member",1,"Conservative","Member","Member"
"Jeremy Quin","Jeremy Quin","member",1,"Conservative","Member","Member"
"Will Quince","Will Quince","member",1,"Conservative","Member","Member"
"Yasmin Qureshi","Yasmin Qureshi","member",1,"Labour","Member","Member"
"Frank Field","Frank Field","member",1,"Independent","Member","Member"
"Dominic Raab","Dominic Raab","member",1,"Conservative","Member","Member"
"Faisal Rashid","Faisal Rashid","member",1,"Labour","Member","Member"
"Angela Rayner","Angela Rayner","member",1,"Labour","Member","Member"
"John Redwood","John Redwood","member",1,"Conservative","Member","Member"
"Mr Steve Reed","Mr Steve Reed","member",1,"Labour (Co-op)","Member","Member"
"Christina Rees","Christina Rees","member",1,"Labour (Co-op)","Member","Member"
"Mr Jacob Rees-Mogg","Mr Jacob Rees-Mogg","member",1,"Conservative","Member","Member"
"Ellie Reeves","Ellie Reeves","member",1,"Labour","Member","Member"
"Rachel Reeves","Rachel Reeves","member",1,"Labour","Member","Member"
"Emma Reynolds","Emma Reynolds","member",1,"Labour","Member","Member"
"Neil Parish","Neil Parish","member",1,"Conservative","Member","Member"
"Jonathan Reynolds","Jonathan Reynolds","member",1,"Labour (Co-op)","Member","Member"
"Ms Marie Rimmer","Ms Marie Rimmer","member",1,"Labour","Member","Member"
"Mr Laurence Robertson","Mr Laurence Robertson","member",1,"Conservative","Member","Member"
"Gavin Robinson","Gavin Robinson","member",1,"Democratic Unionist Party","Member","Member"
"Mary Robinson","Mary Robinson","member",1,"Conservative","Member","Member"
"Mr Geoffrey Robinson","Mr Geoffrey Robinson","member",1,"Labour","Member","Member"
"Matt Rodda","Matt Rodda","member",1,"Labour","Member","Member"
"Douglas Ross","Douglas Ross","member",1,"Conservative","Member","Member"
"Danielle Rowley","Danielle Rowley","member",1,"Labour","Member","Member"
"Lee Rowley","Lee Rowley","member",1,"Conservative","Member","Member"
"Andrew Percy","Andrew Percy","member",1,"Conservative","Member","Member"
"Chris Ruane","Chris Ruane","member",1,"Labour","Member","Member"
"Amber Rudd","Amber Rudd","member",1,"Conservative","Member","Member"
"Lloyd Russell-Moyle","Lloyd Russell-Moyle","member",1,"Labour (Co-op)","Member","Member"
"David Rutley","David Rutley","member",1,"Conservative","Member","Member"
"Joan Ryan","Joan Ryan","member",1,"Change UK - The Independent Group","Member","Member"
"Antoinette Sandbach","Antoinette Sandbach","member",1,"Conservative","Member","Member"
"Liz Saville Roberts","Liz Saville Roberts","member",1,"Plaid Cymru","Member","Member"
"Paul Scully","Paul Scully","member",1,"Conservative","Member","Member"
"Mr Bob Seely","Mr Bob Seely","member",1,"Conservative","Member","Member"
"Andrew Selous","Andrew Selous","member",1,"Conservative","Member","Member"
"George Freeman","George Freeman","member",1,"Conservative","Member","Member"
"Stephen Lloyd","Stephen Lloyd","member",1,"Independent","Member","Member"
"Nicky Morgan","Nicky Morgan","member",1,"Conservative","Member","Member"
"Sir Mike Penning","Sir Mike Penning","member",1,"Conservative","Member","Member"
"Mr Richard Bacon","Mr Richard Bacon","member",1,"Conservative","Member","Member"
"Fiona Bruce","Fiona Bruce","member",1,"Conservative","Member","Member"
"Mr Nigel Evans","Mr Nigel Evans","member",1,"Conservative","Member","Member"
"Kate Hoey","Kate Hoey","member",1,"Labour","Member","Member"
"Craig Whittaker","Craig Whittaker","member",1,"Conservative","Member","Member"
"Dr Julian Lewis","Dr Julian Lewis","member",1,"Conservative","Member","Member"
"Sir Kevin Barron","Sir Kevin Barron","member",1,"Labour","Member","Member"
"Nick Boles","Nick Boles","member",1,"Independent","Member","Member"
"Wendy Morton","Wendy Morton","member",1,"Conservative","Member","Member"
"Iain Stewart","Iain Stewart","member",1,"Conservative","Member","Member"
"Ruth Jones","Ruth Jones","member",1,"Labour","Member","Member"
"Ms Lisa Forbes","Ms Lisa Forbes","member",1,"Labour","Member","Member"
"Sir George Howarth","Sir George Howarth","member",1,"Labour","Member","Member"
"3 Apr, more ind votes (Aye)","3 Apr, more ind votes (Aye)","Voted Motion",1.5,"Motion","PROCESS","Aye"
"3 Apr, more ind votes (No)","3 Apr, more ind votes (No)","Voted Motion",1.5,"Motion","PROCESS","No"
"No ND, ever (Aye)","No ND, ever (Aye)","Voted Motion",1.5,"Motion","NODEAL","Aye"
"No ND, ever (No)","No ND, ever (No)","Voted Motion",1.5,"Motion","NODEAL","No"
"No ND, Malthouse (Aye)","No ND, Malthouse (Aye)","Voted Motion",1.5,"Motion","NODEAL","Aye"
"No ND, Malthouse (No)","No ND, Malthouse (No)","Voted Motion",1.5,"Motion","NODEAL","No"
"12 Jun, PM can't drive ND (Aye)","12 Jun, PM can't drive ND (Aye)","Voted Motion",1.5,"Motion","NODEAL","Aye"
"12 Jun, PM can't drive ND (No)","12 Jun, PM can't drive ND (No)","Voted Motion",1.5,"Motion","NODEAL","No"
"Ind 1 (Aye)","Ind 1 (Aye)","Voted Motion",1.5,"Motion","PROCESS","Aye"
"Ind 1 (No)","Ind 1 (No)","Voted Motion",1.5,"Motion","PROCESS","No"
"Ind 2 (Aye)","Ind 2 (Aye)","Voted Motion",1.5,"Motion","PROCESS","Aye"
"Ind 2 (No)","Ind 2 (No)","Voted Motion",1.5,"Motion","PROCESS","No"
"3 Apr, (Cooper BofH) MPs ext (Aye)","3 Apr, (Cooper BofH) MPs ext (Aye)","Voted Motion",1.5,"Motion","PROCESS","Aye"
"3 Apr, (Cooper BofH) MPs ext (No)","3 Apr, (Cooper BofH) MPs ext (No)","Voted Motion",1.5,"Motion","PROCESS","No"
"Ext to 12 April (Aye)","Ext to 12 April (Aye)","Voted Motion",1.5,"Motion","PMS","Aye"
"Ext to 12 April (No)","Ext to 12 April (No)","Voted Motion",1.5,"Motion","PMS","No"
"29 Jan, Labour alts (Aye)","29 Jan, Labour alts (Aye)","Voted Motion",1.5,"Motion","MARKETS","Aye"
"29 Jan, Labour alts (No)","29 Jan, Labour alts (No)","Voted Motion",1.5,"Motion","MARKETS","No"
"29 Jan, ext + MPs plan if ND by 26/2 (Aye)","29 Jan, ext + MPs plan if ND by 26/2 (Aye)","Voted Motion",1.5,"Motion","NODEAL","Aye"
"29 Jan, ext + MPs plan if ND by 26/2 (No)","29 Jan, ext + MPs plan if ND by 26/2 (No)","Voted Motion",1.5,"Motion","NODEAL","No"
"29 Jan, MPs debate alts (Aye)","29 Jan, MPs debate alts (Aye)","Voted Motion",1.5,"Motion","PROCESS","Aye"
"29 Jan, MPs debate alts (No)","29 Jan, MPs debate alts (No)","Voted Motion",1.5,"Motion","PROCESS","No"
"29 Jan, no ND (Aye)","29 Jan, no ND (Aye)","Voted Motion",1.5,"Motion","NODEAL","Aye"
"29 Jan, no ND (No)","29 Jan, no ND (No)","Voted Motion",1.5,"Motion","NODEAL","No"
"29 Jan, ext if ND by 26/2 (Aye)","29 Jan, ext if ND by 26/2 (Aye)","Voted Motion",1.5,"Motion","NODEAL","Aye"
"29 Jan, ext if ND by 26/2 (No)","29 Jan, ext if ND by 26/2 (No)","Voted Motion",1.5,"Motion","NODEAL","No"
"29 Jan, b'stop alt. arr'ments (Aye)","29 Jan, b'stop alt. arr'ments (Aye)","Voted Motion",1.5,"Motion","BACKSTOP","Aye"
"29 Jan, b'stop alt. arr'ments (No)","29 Jan, b'stop alt. arr'ments (No)","Voted Motion",1.5,"Motion","BACKSTOP","No"
"29 Jan, ext and no ND (Aye)","29 Jan, ext and no ND (Aye)","Voted Motion",1.5,"Motion","NODEAL","Aye"
"29 Jan, ext and no ND (No)","29 Jan, ext and no ND (No)","Voted Motion",1.5,"Motion","NODEAL","No"
"3 Apr, ext limited to 22/5 (Aye)","3 Apr, ext limited to 22/5 (Aye)","Voted Motion",1.5,"Motion","PROCESS","Aye"
"3 Apr, ext limited to 22/5 (No)","3 Apr, ext limited to 22/5 (No)","Voted Motion",1.5,"Motion","PROCESS","No"
"3 Apr, no vote on other ext'n (Aye)","3 Apr, no vote on other ext'n (Aye)","Voted Motion",1.5,"Motion","PROCESS","Aye"
"3 Apr, no vote on other ext'n (No)","3 Apr, no vote on other ext'n (No)","Voted Motion",1.5,"Motion","PROCESS","No"
"3 Apr, Gvt, Brex Sec free (Aye)","3 Apr, Gvt, Brex Sec free (Aye)","Voted Motion",1.5,"Motion","PMS","Aye"
"3 Apr, Gvt, Brex Sec free (No)","3 Apr, Gvt, Brex Sec free (No)","Voted Motion",1.5,"Motion","PMS","No"
"3 Apr (Cooper main) (Aye)","3 Apr (Cooper main) (Aye)","Voted Motion",1.5,"Motion","PROCESS","Aye"
"3 Apr (Cooper main) (No)","3 Apr (Cooper main) (No)","Voted Motion",1.5,"Motion","PROCESS","No"
"MV 1, term. b'stop (Aye)","MV 1, term. b'stop (Aye)","Voted Motion",1.5,"Motion","BACKSTOP","Aye"
"MV 1, term. b'stop (No)","MV 1, term. b'stop (No)","Voted Motion",1.5,"Motion","BACKSTOP","No"
"MV 1 (Aye)","MV 1 (Aye)","Voted Motion",1.5,"Motion","PMS","Aye"
"MV 1 (No)","MV 1 (No)","Voted Motion",1.5,"Motion","PMS","No"
"Stmt, ind votes (Aye)","Stmt, ind votes (Aye)","Voted Motion",1.5,"Motion","PROCESS","Aye"
"Stmt, ind votes (No)","Stmt, ind votes (No)","Voted Motion",1.5,"Motion","PROCESS","No"
"Stmt, MPs vote ext (Aye)","Stmt, MPs vote ext (Aye)","Voted Motion",1.5,"Motion","PROCESS","Aye"
"Stmt, MPs vote ext (No)","Stmt, MPs vote ext (No)","Voted Motion",1.5,"Motion","PROCESS","No"
"Stmt, amdd w/ind votes (Aye)","Stmt, amdd w/ind votes (Aye)","Voted Motion",1.5,"Motion","PMS","Aye"
"Stmt, amdd w/ind votes (No)","Stmt, amdd w/ind votes (No)","Voted Motion",1.5,"Motion","PMS","No"
"Ind 1, EFTA and EEA (Aye)","Ind 1, EFTA and EEA (Aye)","Voted Motion",1.5,"Motion","MARKETS","Aye"
"Ind 1, EFTA and EEA (No)","Ind 1, EFTA and EEA (No)","Voted Motion",1.5,"Motion","MARKETS","No"
"Ind 1, Labour alt (Aye)","Ind 1, Labour alt (Aye)","Voted Motion",1.5,"Motion","MARKETS","Aye"
"Ind 1, Labour alt (No)","Ind 1, Labour alt (No)","Voted Motion",1.5,"Motion","MARKETS","No"
"Ind 2, Parl. decide (Aye)","Ind 2, Parl. decide (Aye)","Voted Motion",1.5,"Motion","PROCESS","Aye"
"Ind 2, Parl. decide (No)","Ind 2, Parl. decide (No)","Voted Motion",1.5,"Motion","PROCESS","No"
"Ind 1, Revoke if ND (Aye)","Ind 1, Revoke if ND (Aye)","Voted Motion",1.5,"Motion","NODEAL","Aye"
"Ind 1, Revoke if ND (No)","Ind 1, Revoke if ND (No)","Voted Motion",1.5,"Motion","NODEAL","No"
"No ND, amdd (Aye)","No ND, amdd (Aye)","Voted Motion",1.5,"Motion","PMS","Aye"
"No ND, amdd (No)","No ND, amdd (No)","Voted Motion",1.5,"Motion","PMS","No"
"Ind 1, Conf pub vote (Aye)","Ind 1, Conf pub vote (Aye)","Voted Motion",1.5,"Motion","PROCESS","Aye"
"Ind 1, Conf pub vote (No)","Ind 1, Conf pub vote (No)","Voted Motion",1.5,"Motion","PROCESS","No"
"Ext to 30 June (Aye)","Ext to 30 June (Aye)","Voted Motion",1.5,"Motion","PMS","Aye"
"Ext to 30 June (No)","Ext to 30 June (No)","Voted Motion",1.5,"Motion","PMS","No"
"Ind 1, ND (Aye)","Ind 1, ND (Aye)","Voted Motion",1.5,"Motion","NODEAL","Aye"
"Ind 1, ND (No)","Ind 1, ND (No)","Voted Motion",1.5,"Motion","NODEAL","No"
"Ind 2, Customs U (Aye)","Ind 2, Customs U (Aye)","Voted Motion",1.5,"Motion","MARKETS","Aye"
"Ind 2, Customs U (No)","Ind 2, Customs U (No)","Voted Motion",1.5,"Motion","MARKETS","No"
"Ind 1, Customs U (Aye)","Ind 1, Customs U (Aye)","Voted Motion",1.5,"Motion","MARKETS","Aye"
"Ind 1, Customs U (No)","Ind 1, Customs U (No)","Voted Motion",1.5,"Motion","MARKETS","No"
"Ind 1, Cont pref arr (Aye)","Ind 1, Cont pref arr (Aye)","Voted Motion",1.5,"Motion","MARKETS","Aye"
"Ind 1, Cont pref arr (No)","Ind 1, Cont pref arr (No)","Voted Motion",1.5,"Motion","MARKETS","No"
"Ind 1, C Mkt 2.0 (Aye)","Ind 1, C Mkt 2.0 (Aye)","Voted Motion",1.5,"Motion","MARKETS","Aye"
"Ind 1, C Mkt 2.0 (No)","Ind 1, C Mkt 2.0 (No)","Voted Motion",1.5,"Motion","MARKETS","No"
