"Id","Label","VoteName","Count","MeaningfulVote","PMs","Indicative","Markets"
3871,"Ind 1, C Mkt 2.0 (Aye)","Aye",189,FALSE,FALSE,TRUE,TRUE
3870,"Ind 1, C Mkt 2.0 (No)","No",283,FALSE,FALSE,TRUE,TRUE
3981,"Ind 2, C Mkt 2.0 (Aye)","Aye",261,FALSE,FALSE,TRUE,TRUE
3980,"Ind 2, C Mkt 2.0 (No)","No",282,FALSE,FALSE,TRUE,TRUE
2961,"No conf (Aye)","Aye",306,FALSE,FALSE,FALSE,FALSE
2960,"No conf (No)","No",325,FALSE,FALSE,FALSE,FALSE
3991,"Ind 2, Conf pub vote (Aye)","Aye",280,FALSE,FALSE,TRUE,FALSE
3990,"Ind 2, Conf pub vote (No)","No",292,FALSE,FALSE,TRUE,FALSE
3541,"MV 2 (Aye)","Aye",242,TRUE,TRUE,FALSE,TRUE
3540,"MV 2 (No)","No",391,TRUE,TRUE,FALSE,TRUE
3331,"14 Feb, Ack (Aye)","Aye",259,FALSE,TRUE,FALSE,FALSE
3330,"14 Feb, Ack (No)","No",303,FALSE,TRUE,FALSE,FALSE
3461,"27 Feb, no ND, even if ext'n (Aye)","Aye",288,FALSE,FALSE,FALSE,FALSE
3460,"27 Feb, no ND, even if ext'n (No)","No",324,FALSE,FALSE,FALSE,FALSE
3321,"14 Feb, delay by 3 mth (Aye)","Aye",93,FALSE,FALSE,FALSE,FALSE
3320,"14 Feb, delay by 3 mth (No)","No",315,FALSE,FALSE,FALSE,FALSE
3311,"14 Feb, MPs decide if ND by 27/2 (Aye)","Aye",306,FALSE,FALSE,FALSE,FALSE
3310,"14 Feb, MPs decide if ND by 27/2 (No)","No",322,FALSE,FALSE,FALSE,FALSE
3451,"27 Feb, Cust U + s.mkt alig (Aye)","Aye",240,FALSE,FALSE,FALSE,TRUE
3450,"27 Feb, Cust U + s.mkt alig (No)","No",323,FALSE,FALSE,FALSE,TRUE
3631,"14 Mar, MPs solve (Aye)","Aye",302,FALSE,FALSE,FALSE,FALSE
3630,"14 Mar, MPs solve (No)","No",318,FALSE,FALSE,FALSE,FALSE
3641,"14 Mar, ext if WA approved (Aye)","Aye",413,FALSE,TRUE,FALSE,FALSE
3640,"14 Mar, ext if WA approved (No)","No",202,FALSE,TRUE,FALSE,FALSE
3471,"27 Feb, no ND ever (Aye)","Aye",502,FALSE,FALSE,FALSE,FALSE
3470,"27 Feb, no ND ever (No)","No",20,FALSE,FALSE,FALSE,FALSE
3621,"14 Mar, MPs debate (Aye)","Aye",312,FALSE,FALSE,FALSE,FALSE
3620,"14 Mar, MPs debate (No)","No",314,FALSE,FALSE,FALSE,FALSE
3611,"14 Mar, limit MPs' debate (Aye)","Aye",311,FALSE,FALSE,FALSE,FALSE
3610,"14 Mar, limit MPs' debate (No)","No",314,FALSE,FALSE,FALSE,FALSE
3601,"14 Mar, 2nd ref'm (Aye)","Aye",85,FALSE,FALSE,FALSE,FALSE
3600,"14 Mar, 2nd ref'm (No)","No",334,FALSE,FALSE,FALSE,FALSE
3951,"MV 2.5 (Aye)","Aye",286,TRUE,TRUE,FALSE,TRUE
3950,"MV 2.5 (No)","No",344,TRUE,TRUE,FALSE,TRUE
