"Source","Target","Type","Weight","CountEither","CountBoth"
3120,3580,"Undirected",0.089171974522293,628,56
3111,3580,"Undirected",0.770666666666667,375,289
3110,3580,"Undirected",0.106518282988871,629,67
3131,3580,"Undirected",0.0985691573926868,629,62
3130,3580,"Undirected",0.795212765957447,376,299
2921,3580,"Undirected",0.0101522842639594,394,4
2920,3580,"Undirected",0.604612850082372,607,367
2931,3580,"Undirected",0.109826589595376,519,57
2930,3580,"Undirected",0.641547861507128,491,315
2961,3580,"Undirected",0.784776902887139,381,299
2960,3580,"Undirected",0.111287758346582,629,70
3541,3580,"Undirected",0.113924050632911,553,63
3540,3580,"Undirected",0.673960612691466,457,308
3331,3580,"Undirected",0.102787456445993,574,59
3330,3580,"Undirected",0.781578947368421,380,297
3461,3580,"Undirected",0.76063829787234,376,286
3460,3580,"Undirected",0.106180665610143,631,67
3321,3580,"Undirected",0.248663101604278,374,93
3320,3580,"Undirected",0.0919175911251981,631,58
3311,3580,"Undirected",0.789473684210526,380,300
3310,3580,"Undirected",0.106518282988871,629,67
3451,3580,"Undirected",0.632978723404255,376,238
3450,3580,"Undirected",0.108108108108108,629,68
3471,3580,"Undirected",0.668571428571429,525,351
3470,3580,"Undirected",0.00510204081632653,392,2
2920,3071,"Undirected",0.493333333333333,600,296
2931,3071,"Undirected",0.00201207243460765,497,1
2930,3071,"Undirected",0.673563218390805,435,293
2961,3071,"Undirected",0.941935483870968,310,292
2921,3070,"Undirected",0.073394495412844,327,24
2920,3070,"Undirected",0.462145110410095,634,293
2931,3070,"Undirected",0.598187311178248,331,198
2930,3070,"Undirected",0.204761904761905,630,129
2961,3070,"Undirected",0.00476190476190476,630,3
2960,3070,"Undirected",0.975757575757576,330,322
3081,3101,"Undirected",0.130872483221477,298,39
3080,3101,"Undirected",0.0262725779967159,609,16
3071,3101,"Undirected",0.885714285714286,315,279
3070,3101,"Undirected",0.0279605263157895,608,17
3091,3101,"Undirected",0.970394736842105,304,295
3090,3101,"Undirected",0.00161812297734628,618,1
2920,3101,"Undirected",0.48922056384743,603,295
2931,3101,"Undirected",0.0204081632653061,490,10
2930,3101,"Undirected",0.644144144144144,444,286
2961,3101,"Undirected",0.847094801223242,327,277
2960,3101,"Undirected",0.0280528052805281,606,17
