"Source","Target","Type","Weight","CountEither","CountBoth"
3330,4130,"Directed",0.0122549019607843,408,5
3641,4130,"Directed",0.00576923076923077,520,3
3640,4130,"Directed",0.471698113207547,212,100
3951,4130,"Directed",0.218461538461538,325,71
3950,4130,"Directed",0.0913461538461538,416,38
2931,3541,"Directed",0.827160493827161,243,201
2930,3541,"Directed",0.0630914826498423,634,40
3331,3541,"Directed",0.848708487084871,271,230
3330,3541,"Directed",0.00183823529411765,544,1
2930,3540,"Directed",0.896313364055299,434,389
3331,3540,"Directed",0.043338683788122,623,27
3330,3540,"Directed",0.765903307888041,393,301
2931,3331,"Directed",0.739622641509434,265,196
2930,3331,"Directed",0.0968253968253968,630,61
2931,3330,"Directed",0.00198412698412698,504,1
2930,3330,"Directed",0.689655172413793,435,300
2931,3641,"Directed",0.215415019762846,506,109
2930,3641,"Directed",0.556169429097606,543,302
3591,3641,"Directed",0.735224586288416,423,311
3590,3641,"Directed",0.112721417069243,621,70
3541,3641,"Directed",0.208487084870849,542,113
3540,3641,"Directed",0.588932806324111,506,298
3331,3641,"Directed",0.195729537366548,562,110
3330,3641,"Directed",0.68075117370892,426,290
3640,3641,"Directed",0.00162866449511401,614,1
2931,3640,"Directed",0.270440251572327,318,86
2930,3640,"Directed",0.219230769230769,520,114
3590,3640,"Directed",0.708185053380783,281,199
3541,3640,"Directed",0.37037037037037,324,120
3540,3640,"Directed",0.153696498054475,514,79
3331,3640,"Directed",0.43167701863354,322,139
3330,3640,"Directed",0.01,500,5
3941,3951,"Directed",0.260416666666667,576,150
3940,3951,"Directed",0.20679012345679,324,67
2931,3951,"Directed",0.694444444444444,288,200
2930,3951,"Directed",0.132492113564669,634,84
3751,3951,"Directed",0.0407470288624788,589,24
3750,3951,"Directed",0.775757575757576,330,256
3591,3951,"Directed",0.0288135593220339,590,17
3590,3951,"Directed",0.719512195121951,328,236
3541,3951,"Directed",0.839721254355401,287,241
3540,3951,"Directed",0.0678233438485804,634,43
3331,3951,"Directed",0.816666666666667,300,245
3330,3951,"Directed",0.00340715502555366,587,2
3641,3951,"Directed",0.196917808219178,584,115
3640,3951,"Directed",0.48780487804878,328,160
3941,3950,"Directed",0.580645161290323,496,288
3940,3950,"Directed",0.0898058252427184,412,37
2930,3950,"Directed",0.788018433179724,434,342
3751,3950,"Directed",0.808625336927224,371,300
3750,3950,"Directed",0.0697674418604651,602,42
3591,3950,"Directed",0.816939890710383,366,299
3590,3950,"Directed",0.0687285223367698,582,40
3540,3950,"Directed",0.879795396419437,391,344
3331,3950,"Directed",0.0203045685279188,591,12
3330,3950,"Directed",0.848571428571429,350,297
3641,3950,"Directed",0.634989200863931,463,294
3640,3950,"Directed",0.0790513833992095,506,40
