"uri","abstain.count","ayes.count","deferred.vote","didnotvotecount","errorvotecount","margin","noesvotecount","noneligiblecount","suspendedorexpelledvotescount","date","division.number","is.primary.topic.of","is.primary.topic.of...uri","legislature","legislature...uri","session","session...uri","title","uin","vote...uri","vote...member.party","vote...member.printed","vote...uri.1","vote...type","vote...type...uri"
"http://data.parliament.uk/resources/1050644",0,318,"false",0,0,8,310,0,0,"2019-01-29",312,"1050644.csv","http://eldaddp.azurewebsites.net/commonsdivisions/id/1050644.csv",NA,"http://data.parliament.uk/terms/25259","2017/19","","EU (Withdrawal) Act Section 13 Amdt (i) - Spelman","CD:2019-01-29:581","http://data.parliament.uk/resources/1050644/vote/1","Labour","Louise Haigh","http://data.parliament.uk/resources/1050644/vote/1",NA,"http://data.parliament.uk/schema/parl#AyeVote"
"http://data.parliament.uk/resources/1050644",0,318,"false",0,0,8,310,0,0,"2019-01-29",312,"1050644.csv","http://eldaddp.azurewebsites.net/commonsdivisions/id/1050644.csv",25259,"http://data.parliament.uk/terms/25259","","http://data.parliament.uk/resources/730830","EU (Withdrawal) Act Section 13 Amdt (i) - Spelman","CD:2019-01-29:581","http://data.parliament.uk/resources/1050644/vote/10","Labour (Co-op)","Sir Mark Hendrick","http://data.parliament.uk/resources/1050644/vote/10",NA,"http://data.parliament.uk/schema/parl#AyeVote"
"http://data.parliament.uk/resources/1050644",0,318,"false",0,0,8,310,0,0,"2019-01-29",312,"1050644.csv","http://eldaddp.azurewebsites.net/commonsdivisions/id/1050644.csv",25259,"http://data.parliament.uk/terms/25259","2017/19","","EU (Withdrawal) Act Section 13 Amdt (i) - Spelman","CD:2019-01-29:581","http://data.parliament.uk/resources/1050644/vote/100","Labour (Co-op)","Jonathan Ashworth","http://data.parliament.uk/resources/1050644/vote/100",NA,"http://data.parliament.uk/schema/parl#AyeVote"
"http://data.parliament.uk/resources/1050644",0,318,"false",0,0,8,310,0,0,"2019-01-29",312,"1050644.csv","http://eldaddp.azurewebsites.net/commonsdivisions/id/1050644.csv",25259,"http://data.parliament.uk/terms/25259","2017/19","","EU (Withdrawal) Act Section 13 Amdt (i) - Spelman","CD:2019-01-29:581","http://data.parliament.uk/resources/1050644/vote/101","Labour","Ian Austin","http://data.parliament.uk/resources/1050644/vote/101",NA,"http://data.parliament.uk/schema/parl#AyeVote"
"http://data.parliament.uk/resources/1050644",0,318,"false",0,0,8,310,0,0,"2019-01-29",312,"1050644.csv","http://eldaddp.azurewebsites.net/commonsdivisions/id/1050644.csv",25259,"http://data.parliament.uk/terms/25259","2017/19","","EU (Withdrawal) Act Section 13 Amdt (i) - Spelman","CD:2019-01-29:581","http://data.parliament.uk/resources/1050644/vote/102","Labour (Co-op)","Mr Adrian Bailey","http://data.parliament.uk/resources/1050644/vote/102",NA,"http://data.parliament.uk/schema/parl#AyeVote"
"http://data.parliament.uk/resources/1050644",0,318,"false",0,0,8,310,0,0,"2019-01-29",312,"1050644.csv","http://eldaddp.azurewebsites.net/commonsdivisions/id/1050644.csv",25259,"http://data.parliament.uk/terms/25259","2017/19","","EU (Withdrawal) Act Section 13 Amdt (i) - Spelman","CD:2019-01-29:581","http://data.parliament.uk/resources/1050644/vote/103","Scottish National Party","Hannah Bardell","http://data.parliament.uk/resources/1050644/vote/103",NA,"http://data.parliament.uk/schema/parl#AyeVote"
"http://data.parliament.uk/resources/1050644",0,318,"false",0,0,8,310,0,0,"2019-01-29",312,"1050644.csv","http://eldaddp.azurewebsites.net/commonsdivisions/id/1050644.csv",25259,"http://data.parliament.uk/terms/25259","2017/19","","EU (Withdrawal) Act Section 13 Amdt (i) - Spelman","CD:2019-01-29:581","http://data.parliament.uk/resources/1050644/vote/104","Labour","Sir Kevin Barron","http://data.parliament.uk/resources/1050644/vote/104",NA,"http://data.parliament.uk/schema/parl#AyeVote"
"http://data.parliament.uk/resources/1050644",0,318,"false",0,0,8,310,0,0,"2019-01-29",312,"1050644.csv","http://eldaddp.azurewebsites.net/commonsdivisions/id/1050644.csv",25259,"http://data.parliament.uk/terms/25259","2017/19","","EU (Withdrawal) Act Section 13 Amdt (i) - Spelman","CD:2019-01-29:581","http://data.parliament.uk/resources/1050644/vote/105","Conservative","Guto Bebb","http://data.parliament.uk/resources/1050644/vote/105",NA,"http://data.parliament.uk/schema/parl#AyeVote"
"http://data.parliament.uk/resources/1050644",0,318,"false",0,0,8,310,0,0,"2019-01-29",312,"1050644.csv","http://eldaddp.azurewebsites.net/commonsdivisions/id/1050644.csv",25259,"http://data.parliament.uk/terms/25259","2017/19","","EU (Withdrawal) Act Section 13 Amdt (i) - Spelman","CD:2019-01-29:581","http://data.parliament.uk/resources/1050644/vote/106","Labour","Margaret Beckett","http://data.parliament.uk/resources/1050644/vote/106",NA,"http://data.parliament.uk/schema/parl#AyeVote"
"http://data.parliament.uk/resources/1050644",0,318,"false",0,0,8,310,0,0,"2019-01-29",312,"1050644.csv","http://eldaddp.azurewebsites.net/commonsdivisions/id/1050644.csv",25259,"http://data.parliament.uk/terms/25259","2017/19","","EU (Withdrawal) Act Section 13 Amdt (i) - Spelman","CD:2019-01-29:581","http://data.parliament.uk/resources/1050644/vote/107","Labour","Hilary Benn","http://data.parliament.uk/resources/1050644/vote/107",NA,"http://data.parliament.uk/schema/parl#AyeVote"
