"uri","abstain.count","ayes.count","deferred.vote","didnotvotecount","errorvotecount","margin","noesvotecount","noneligiblecount","suspendedorexpelledvotescount","date","division.number","is.primary.topic.of","is.primary.topic.of...uri","legislature","legislature...uri","session","session...uri","title","uin","vote...uri","vote...member.party","vote...member.printed","vote...uri.1","vote...type","vote...type...uri"
"http://data.parliament.uk/resources/1061009",0,93,"false",0,0,222,315,0,0,"2019-02-14",332,"1061009.csv","http://eldaddp.azurewebsites.net/commonsdivisions/id/1061009.csv",NA,"http://data.parliament.uk/terms/25259","2017/19","","UK's withdrawal from the EU: Mr Blackford's amendment","CD:2019-02-14:601","http://data.parliament.uk/resources/1061009/vote/1","Labour","Debbie Abrahams","http://data.parliament.uk/resources/1061009/vote/1",NA,"http://data.parliament.uk/schema/parl#AyeVote"
"http://data.parliament.uk/resources/1061009",0,93,"false",0,0,222,315,0,0,"2019-02-14",332,"1061009.csv","http://eldaddp.azurewebsites.net/commonsdivisions/id/1061009.csv",25259,"http://data.parliament.uk/terms/25259","","http://data.parliament.uk/resources/730830","UK's withdrawal from the EU: Mr Blackford's amendment","CD:2019-02-14:601","http://data.parliament.uk/resources/1061009/vote/10","Scottish National Party","Deidre Brock","http://data.parliament.uk/resources/1061009/vote/10",NA,"http://data.parliament.uk/schema/parl#AyeVote"
"http://data.parliament.uk/resources/1061009",0,93,"false",0,0,222,315,0,0,"2019-02-14",332,"1061009.csv","http://eldaddp.azurewebsites.net/commonsdivisions/id/1061009.csv",25259,"http://data.parliament.uk/terms/25259","2017/19","","UK's withdrawal from the EU: Mr Blackford's amendment","CD:2019-02-14:601","http://data.parliament.uk/resources/1061009/vote/100","Conservative","Guy Opperman","http://data.parliament.uk/resources/1061009/vote/100",NA,"http://data.parliament.uk/schema/parl#NoVote"
"http://data.parliament.uk/resources/1061009",0,93,"false",0,0,222,315,0,0,"2019-02-14",332,"1061009.csv","http://eldaddp.azurewebsites.net/commonsdivisions/id/1061009.csv",25259,"http://data.parliament.uk/terms/25259","2017/19","","UK's withdrawal from the EU: Mr Blackford's amendment","CD:2019-02-14:601","http://data.parliament.uk/resources/1061009/vote/101","Democratic Unionist Party","Ian Paisley","http://data.parliament.uk/resources/1061009/vote/101",NA,"http://data.parliament.uk/schema/parl#NoVote"
"http://data.parliament.uk/resources/1061009",0,93,"false",0,0,222,315,0,0,"2019-02-14",332,"1061009.csv","http://eldaddp.azurewebsites.net/commonsdivisions/id/1061009.csv",25259,"http://data.parliament.uk/terms/25259","2017/19","","UK's withdrawal from the EU: Mr Blackford's amendment","CD:2019-02-14:601","http://data.parliament.uk/resources/1061009/vote/102","Conservative","Neil Parish","http://data.parliament.uk/resources/1061009/vote/102",NA,"http://data.parliament.uk/schema/parl#NoVote"
"http://data.parliament.uk/resources/1061009",0,93,"false",0,0,222,315,0,0,"2019-02-14",332,"1061009.csv","http://eldaddp.azurewebsites.net/commonsdivisions/id/1061009.csv",25259,"http://data.parliament.uk/terms/25259","2017/19","","UK's withdrawal from the EU: Mr Blackford's amendment","CD:2019-02-14:601","http://data.parliament.uk/resources/1061009/vote/103","Conservative","Priti Patel","http://data.parliament.uk/resources/1061009/vote/103",NA,"http://data.parliament.uk/schema/parl#NoVote"
"http://data.parliament.uk/resources/1061009",0,93,"false",0,0,222,315,0,0,"2019-02-14",332,"1061009.csv","http://eldaddp.azurewebsites.net/commonsdivisions/id/1061009.csv",25259,"http://data.parliament.uk/terms/25259","2017/19","","UK's withdrawal from the EU: Mr Blackford's amendment","CD:2019-02-14:601","http://data.parliament.uk/resources/1061009/vote/104","Conservative","Mr Owen Paterson","http://data.parliament.uk/resources/1061009/vote/104",NA,"http://data.parliament.uk/schema/parl#NoVote"
"http://data.parliament.uk/resources/1061009",0,93,"false",0,0,222,315,0,0,"2019-02-14",332,"1061009.csv","http://eldaddp.azurewebsites.net/commonsdivisions/id/1061009.csv",25259,"http://data.parliament.uk/terms/25259","2017/19","","UK's withdrawal from the EU: Mr Blackford's amendment","CD:2019-02-14:601","http://data.parliament.uk/resources/1061009/vote/105","Conservative","Mark Pawsey","http://data.parliament.uk/resources/1061009/vote/105",NA,"http://data.parliament.uk/schema/parl#NoVote"
"http://data.parliament.uk/resources/1061009",0,93,"false",0,0,222,315,0,0,"2019-02-14",332,"1061009.csv","http://eldaddp.azurewebsites.net/commonsdivisions/id/1061009.csv",25259,"http://data.parliament.uk/terms/25259","2017/19","","UK's withdrawal from the EU: Mr Blackford's amendment","CD:2019-02-14:601","http://data.parliament.uk/resources/1061009/vote/106","Conservative","Sir Mike Penning","http://data.parliament.uk/resources/1061009/vote/106",NA,"http://data.parliament.uk/schema/parl#NoVote"
"http://data.parliament.uk/resources/1061009",0,93,"false",0,0,222,315,0,0,"2019-02-14",332,"1061009.csv","http://eldaddp.azurewebsites.net/commonsdivisions/id/1061009.csv",25259,"http://data.parliament.uk/terms/25259","2017/19","","UK's withdrawal from the EU: Mr Blackford's amendment","CD:2019-02-14:601","http://data.parliament.uk/resources/1061009/vote/107","Conservative","John Penrose","http://data.parliament.uk/resources/1061009/vote/107",NA,"http://data.parliament.uk/schema/parl#NoVote"
