"uri","abstain.count","ayes.count","deferred.vote","didnotvotecount","errorvotecount","margin","noesvotecount","noneligiblecount","suspendedorexpelledvotescount","date","division.number","is.primary.topic.of","is.primary.topic.of...uri","legislature","legislature...uri","session","session...uri","title","uin","vote...uri","vote...member.party","vote...member.printed","vote...uri.1","vote...type","vote...type...uri"
"http://data.parliament.uk/resources/1050712",0,317,"false",0,0,16,301,0,0,"2019-01-29",313,"1050712.csv","http://eldaddp.azurewebsites.net/commonsdivisions/id/1050712.csv",NA,"http://data.parliament.uk/terms/25259","2017/19","","EU (Withdrawal) Act Section 13 Amdt (n) - Brady","CD:2019-01-29:582","http://data.parliament.uk/resources/1050712/vote/1","Conservative","Kirstene Hair","http://data.parliament.uk/resources/1050712/vote/1",NA,"http://data.parliament.uk/schema/parl#AyeVote"
"http://data.parliament.uk/resources/1050712",0,317,"false",0,0,16,301,0,0,"2019-01-29",313,"1050712.csv","http://eldaddp.azurewebsites.net/commonsdivisions/id/1050712.csv",25259,"http://data.parliament.uk/terms/25259","","http://data.parliament.uk/resources/730830","EU (Withdrawal) Act Section 13 Amdt (n) - Brady","CD:2019-01-29:582","http://data.parliament.uk/resources/1050712/vote/10","Conservative","Rebecca Harris","http://data.parliament.uk/resources/1050712/vote/10",NA,"http://data.parliament.uk/schema/parl#AyeVote"
"http://data.parliament.uk/resources/1050712",0,317,"false",0,0,16,301,0,0,"2019-01-29",313,"1050712.csv","http://eldaddp.azurewebsites.net/commonsdivisions/id/1050712.csv",25259,"http://data.parliament.uk/terms/25259","2017/19","","EU (Withdrawal) Act Section 13 Amdt (n) - Brady","CD:2019-01-29:582","http://data.parliament.uk/resources/1050712/vote/100","Conservative","Mrs Sheryll Murray","http://data.parliament.uk/resources/1050712/vote/100",NA,"http://data.parliament.uk/schema/parl#AyeVote"
"http://data.parliament.uk/resources/1050712",0,317,"false",0,0,16,301,0,0,"2019-01-29",313,"1050712.csv","http://eldaddp.azurewebsites.net/commonsdivisions/id/1050712.csv",25259,"http://data.parliament.uk/terms/25259","2017/19","","EU (Withdrawal) Act Section 13 Amdt (n) - Brady","CD:2019-01-29:582","http://data.parliament.uk/resources/1050712/vote/101","Conservative","Dr Andrew Murrison","http://data.parliament.uk/resources/1050712/vote/101",NA,"http://data.parliament.uk/schema/parl#AyeVote"
"http://data.parliament.uk/resources/1050712",0,317,"false",0,0,16,301,0,0,"2019-01-29",313,"1050712.csv","http://eldaddp.azurewebsites.net/commonsdivisions/id/1050712.csv",25259,"http://data.parliament.uk/terms/25259","2017/19","","EU (Withdrawal) Act Section 13 Amdt (n) - Brady","CD:2019-01-29:582","http://data.parliament.uk/resources/1050712/vote/102","Conservative","Nigel Adams","http://data.parliament.uk/resources/1050712/vote/102",NA,"http://data.parliament.uk/schema/parl#AyeVote"
"http://data.parliament.uk/resources/1050712",0,317,"false",0,0,16,301,0,0,"2019-01-29",313,"1050712.csv","http://eldaddp.azurewebsites.net/commonsdivisions/id/1050712.csv",25259,"http://data.parliament.uk/terms/25259","2017/19","","EU (Withdrawal) Act Section 13 Amdt (n) - Brady","CD:2019-01-29:582","http://data.parliament.uk/resources/1050712/vote/103","Conservative","Bim Afolami","http://data.parliament.uk/resources/1050712/vote/103",NA,"http://data.parliament.uk/schema/parl#AyeVote"
"http://data.parliament.uk/resources/1050712",0,317,"false",0,0,16,301,0,0,"2019-01-29",313,"1050712.csv","http://eldaddp.azurewebsites.net/commonsdivisions/id/1050712.csv",25259,"http://data.parliament.uk/terms/25259","2017/19","","EU (Withdrawal) Act Section 13 Amdt (n) - Brady","CD:2019-01-29:582","http://data.parliament.uk/resources/1050712/vote/104","Conservative","Adam Afriyie","http://data.parliament.uk/resources/1050712/vote/104",NA,"http://data.parliament.uk/schema/parl#AyeVote"
"http://data.parliament.uk/resources/1050712",0,317,"false",0,0,16,301,0,0,"2019-01-29",313,"1050712.csv","http://eldaddp.azurewebsites.net/commonsdivisions/id/1050712.csv",25259,"http://data.parliament.uk/terms/25259","2017/19","","EU (Withdrawal) Act Section 13 Amdt (n) - Brady","CD:2019-01-29:582","http://data.parliament.uk/resources/1050712/vote/105","Conservative","Peter Aldous","http://data.parliament.uk/resources/1050712/vote/105",NA,"http://data.parliament.uk/schema/parl#AyeVote"
"http://data.parliament.uk/resources/1050712",0,317,"false",0,0,16,301,0,0,"2019-01-29",313,"1050712.csv","http://eldaddp.azurewebsites.net/commonsdivisions/id/1050712.csv",25259,"http://data.parliament.uk/terms/25259","2017/19","","EU (Withdrawal) Act Section 13 Amdt (n) - Brady","CD:2019-01-29:582","http://data.parliament.uk/resources/1050712/vote/106","Conservative","Lucy Allan","http://data.parliament.uk/resources/1050712/vote/106",NA,"http://data.parliament.uk/schema/parl#AyeVote"
"http://data.parliament.uk/resources/1050712",0,317,"false",0,0,16,301,0,0,"2019-01-29",313,"1050712.csv","http://eldaddp.azurewebsites.net/commonsdivisions/id/1050712.csv",25259,"http://data.parliament.uk/terms/25259","2017/19","","EU (Withdrawal) Act Section 13 Amdt (n) - Brady","CD:2019-01-29:582","http://data.parliament.uk/resources/1050712/vote/107","Conservative","Sir David Amess","http://data.parliament.uk/resources/1050712/vote/107",NA,"http://data.parliament.uk/schema/parl#AyeVote"
