"uri","abstain.count","ayes.count","deferred.vote","didnotvotecount","errorvotecount","margin","noesvotecount","noneligiblecount","suspendedorexpelledvotescount","date","division.number","is.primary.topic.of","is.primary.topic.of...uri","legislature","legislature...uri","session","session...uri","title","uin","vote...uri","vote...member.party","vote...member.printed","vote...uri.1","vote...type","vote...type...uri"
"http://data.parliament.uk/resources/1078392",0,502,"false",0,0,482,20,0,0,"2019-02-27",347,"1078392.csv","http://eldaddp.azurewebsites.net/commonsdivisions/id/1078392.csv",NA,"http://data.parliament.uk/terms/25259","2017/19","","UK's withdrawal from the EU: Yvette Cooper's amendment (f)","CD:2019-02-27:616","http://data.parliament.uk/resources/1078392/vote/1","Labour","Ms Diane Abbott","http://data.parliament.uk/resources/1078392/vote/1",NA,"http://data.parliament.uk/schema/parl#AyeVote"
"http://data.parliament.uk/resources/1078392",0,502,"false",0,0,482,20,0,0,"2019-02-27",347,"1078392.csv","http://eldaddp.azurewebsites.net/commonsdivisions/id/1078392.csv",25259,"http://data.parliament.uk/terms/25259","","http://data.parliament.uk/resources/730830","UK's withdrawal from the EU: Yvette Cooper's amendment (f)","CD:2019-02-27:616","http://data.parliament.uk/resources/1078392/vote/10","Labour","Tonia Antoniazzi","http://data.parliament.uk/resources/1078392/vote/10",NA,"http://data.parliament.uk/schema/parl#AyeVote"
"http://data.parliament.uk/resources/1078392",0,502,"false",0,0,482,20,0,0,"2019-02-27",347,"1078392.csv","http://eldaddp.azurewebsites.net/commonsdivisions/id/1078392.csv",25259,"http://data.parliament.uk/terms/25259","2017/19","","UK's withdrawal from the EU: Yvette Cooper's amendment (f)","CD:2019-02-27:616","http://data.parliament.uk/resources/1078392/vote/100","Conservative","Mr David Davis","http://data.parliament.uk/resources/1078392/vote/100",NA,"http://data.parliament.uk/schema/parl#AyeVote"
"http://data.parliament.uk/resources/1078392",0,502,"false",0,0,482,20,0,0,"2019-02-27",347,"1078392.csv","http://eldaddp.azurewebsites.net/commonsdivisions/id/1078392.csv",25259,"http://data.parliament.uk/terms/25259","2017/19","","UK's withdrawal from the EU: Yvette Cooper's amendment (f)","CD:2019-02-27:616","http://data.parliament.uk/resources/1078392/vote/101","Scottish National Party","Martyn Day","http://data.parliament.uk/resources/1078392/vote/101",NA,"http://data.parliament.uk/schema/parl#AyeVote"
"http://data.parliament.uk/resources/1078392",0,502,"false",0,0,482,20,0,0,"2019-02-27",347,"1078392.csv","http://eldaddp.azurewebsites.net/commonsdivisions/id/1078392.csv",25259,"http://data.parliament.uk/terms/25259","2017/19","","UK's withdrawal from the EU: Yvette Cooper's amendment (f)","CD:2019-02-27:616","http://data.parliament.uk/resources/1078392/vote/102","Labour","Marsha De Cordova","http://data.parliament.uk/resources/1078392/vote/102",NA,"http://data.parliament.uk/schema/parl#AyeVote"
"http://data.parliament.uk/resources/1078392",0,502,"false",0,0,482,20,0,0,"2019-02-27",347,"1078392.csv","http://eldaddp.azurewebsites.net/commonsdivisions/id/1078392.csv",25259,"http://data.parliament.uk/terms/25259","2017/19","","UK's withdrawal from the EU: Yvette Cooper's amendment (f)","CD:2019-02-27:616","http://data.parliament.uk/resources/1078392/vote/103","Labour","Gloria De Piero","http://data.parliament.uk/resources/1078392/vote/103",NA,"http://data.parliament.uk/schema/parl#AyeVote"
"http://data.parliament.uk/resources/1078392",0,502,"false",0,0,482,20,0,0,"2019-02-27",347,"1078392.csv","http://eldaddp.azurewebsites.net/commonsdivisions/id/1078392.csv",25259,"http://data.parliament.uk/terms/25259","2017/19","","UK's withdrawal from the EU: Yvette Cooper's amendment (f)","CD:2019-02-27:616","http://data.parliament.uk/resources/1078392/vote/104","Labour","Thangam Debbonaire","http://data.parliament.uk/resources/1078392/vote/104",NA,"http://data.parliament.uk/schema/parl#AyeVote"
"http://data.parliament.uk/resources/1078392",0,502,"false",0,0,482,20,0,0,"2019-02-27",347,"1078392.csv","http://eldaddp.azurewebsites.net/commonsdivisions/id/1078392.csv",25259,"http://data.parliament.uk/terms/25259","2017/19","","UK's withdrawal from the EU: Yvette Cooper's amendment (f)","CD:2019-02-27:616","http://data.parliament.uk/resources/1078392/vote/105","Labour","Emma Dent Coad","http://data.parliament.uk/resources/1078392/vote/105",NA,"http://data.parliament.uk/schema/parl#AyeVote"
"http://data.parliament.uk/resources/1078392",0,502,"false",0,0,482,20,0,0,"2019-02-27",347,"1078392.csv","http://eldaddp.azurewebsites.net/commonsdivisions/id/1078392.csv",25259,"http://data.parliament.uk/terms/25259","2017/19","","UK's withdrawal from the EU: Yvette Cooper's amendment (f)","CD:2019-02-27:616","http://data.parliament.uk/resources/1078392/vote/106","Labour","Mr Tanmanjeet Singh Dhesi","http://data.parliament.uk/resources/1078392/vote/106",NA,"http://data.parliament.uk/schema/parl#AyeVote"
"http://data.parliament.uk/resources/1078392",0,502,"false",0,0,482,20,0,0,"2019-02-27",347,"1078392.csv","http://eldaddp.azurewebsites.net/commonsdivisions/id/1078392.csv",25259,"http://data.parliament.uk/terms/25259","2017/19","","UK's withdrawal from the EU: Yvette Cooper's amendment (f)","CD:2019-02-27:616","http://data.parliament.uk/resources/1078392/vote/107","Conservative","Caroline Dinenage","http://data.parliament.uk/resources/1078392/vote/107",NA,"http://data.parliament.uk/schema/parl#AyeVote"
